attrition_id,emp_id,department,role,left_date,tenure_months,annual_salary,primary_reason,secondary_reason,exit_interview_done,would_rejoin,notice_period_days,replacement_cost_lakh,age,gender,job_satisfaction,work_life_balance
ATT00001,EMP00012,Operations,COO,2021-08-08,22,769079.0,Manager Issues,Manager Issues,1,No,60,8.4,33,Female,5,4
ATT00002,EMP00013,Product,Director of Product,2023-02-03,59,595839.0,Manager Issues,Growth Stagnation,1,Maybe,60,3.1,51,Female,5,5
ATT00003,EMP00016,Finance,CFO,2021-09-18,45,733267.0,Better Opportunity,Health Issues,1,Maybe,90,9.8,23,Female,1,3
ATT00004,EMP00022,Finance,CFO,2024-03-22,36,634489.0,Personal Reasons,Manager Issues,0,Maybe,30,6.9,22,Male,4,4
ATT00005,EMP00029,Data Analytics,Senior Analyst,2021-04-04,8,1188490.0,Work Life Balance,Relocation,1,No,30,13.9,45,Female,5,3
ATT00006,EMP00032,Finance,Senior Analyst,2024-03-31,41,914404.0,Better Opportunity,Personal Reasons,0,No,60,6.4,44,Female,1,1
ATT00007,EMP00046,Engineering,DevOps Engineer,2023-03-22,49,713438.0,Company Culture,Better Opportunity,1,No,60,9.5,53,Male,3,4
ATT00008,EMP00048,Customer Success,Account Executive,2024-03-03,32,850017.0,Personal Reasons,Better Opportunity,1,Maybe,30,8.7,52,Male,4,5
ATT00009,EMP00052,HR,HR Executive,2022-04-02,34,530590.0,Personal Reasons,Better Opportunity,1,No,90,4.7,37,Female,4,2
ATT00010,EMP00066,Data Analytics,Data Scientist,2021-01-18,23,1553955.0,Better Opportunity,Growth Stagnation,1,Maybe,90,15.0,36,Male,5,1
ATT00011,EMP00067,Product,Product Manager,2024-04-26,11,1635246.0,Relocation,Manager Issues,1,Maybe,90,12.1,50,Female,5,3
ATT00012,EMP00078,Marketing,Content Writer,2023-04-24,10,770474.0,Higher Salary,Competitor Offer,0,No,60,4.8,26,Male,1,2
ATT00013,EMP00093,Engineering,Software Engineer,2023-09-19,5,752757.0,Competitor Offer,Growth Stagnation,1,Maybe,30,6.3,38,Female,3,4
ATT00014,EMP00102,HR,HR Director,2023-06-20,0,849919.0,Personal Reasons,Personal Reasons,1,Yes,90,11.9,33,Male,1,5
ATT00015,EMP00109,Data Analytics,Data Analyst,2023-09-13,95,654000.0,Health Issues,Competitor Offer,1,Yes,90,8.6,22,Male,2,2
ATT00016,EMP00110,Sales,Regional Manager,2024-04-11,4,715966.0,Growth Stagnation,Better Opportunity,1,Maybe,90,6.9,41,Female,2,5
ATT00017,EMP00121,Customer Success,CS Manager,2024-11-27,13,597426.0,Personal Reasons,Relocation,1,Yes,60,5.0,29,Male,3,4
ATT00018,EMP00124,Engineering,Software Engineer,2023-07-13,80,899042.0,Relocation,Growth Stagnation,1,Yes,60,11.1,35,Female,1,4
ATT00019,EMP00131,Data Analytics,Senior Analyst,2023-08-13,47,943664.0,Higher Salary,Manager Issues,1,Yes,60,11.7,50,Male,2,2
ATT00020,EMP00134,Operations,Operations Manager,2023-12-22,22,642403.0,Health Issues,Personal Reasons,0,Yes,30,8.7,30,Female,2,4
ATT00021,EMP00139,Legal,Legal Executive,2023-02-14,69,689687.0,Personal Reasons,Work Life Balance,1,No,60,9.2,27,Other,1,1
ATT00022,EMP00150,Sales,Senior Sales,2021-08-27,21,912845.0,Better Opportunity,Personal Reasons,1,Maybe,90,8.1,35,Other,4,1
ATT00023,EMP00154,Legal,Legal Manager,2023-12-20,1,690990.0,Growth Stagnation,Relocation,0,No,90,9.3,26,Male,3,2
ATT00024,EMP00157,Data Analytics,Senior Analyst,2023-06-21,95,1225606.0,Manager Issues,Personal Reasons,1,No,30,12.5,39,Male,4,4
ATT00025,EMP00167,Marketing,Marketing Executive,2024-09-29,40,725442.0,Relocation,Growth Stagnation,1,Yes,60,6.6,40,Male,2,2
ATT00026,EMP00169,Marketing,Content Writer,2022-05-23,4,771032.0,Competitor Offer,Higher Salary,1,Maybe,90,8.8,44,Female,4,3
ATT00027,EMP00176,Sales,Regional Manager,2024-05-23,11,783720.0,Growth Stagnation,Better Opportunity,1,Maybe,90,8.3,48,Male,3,1
ATT00028,EMP00177,Finance,Financial Analyst,2023-03-12,11,791573.0,Manager Issues,Health Issues,0,Maybe,90,5.2,38,Female,5,5
ATT00029,EMP00178,Finance,Financial Analyst,2024-12-27,42,843973.0,Health Issues,Growth Stagnation,1,No,60,12.5,34,Male,4,4
ATT00030,EMP00182,Finance,Controller,2023-02-15,86,817166.0,Competitor Offer,Manager Issues,1,Yes,90,11.4,47,Female,1,1
ATT00031,EMP00184,Operations,COO,2022-02-11,4,846202.0,Relocation,Growth Stagnation,1,Yes,30,10.4,48,Male,2,5
ATT00032,EMP00190,Marketing,Digital Marketing Manager,2023-06-03,17,604718.0,Company Culture,Better Opportunity,1,Yes,30,3.7,24,Male,2,4
ATT00033,EMP00192,Customer Success,CS Executive,2022-04-18,30,692152.0,Manager Issues,Growth Stagnation,1,No,60,4.3,30,Male,1,1
ATT00034,EMP00204,Marketing,Brand Manager,2024-02-20,27,838794.0,Better Opportunity,Competitor Offer,1,Maybe,60,4.9,38,Female,5,5
ATT00035,EMP00205,Engineering,Engineering Manager,2017-12-03,12,2396752.0,Manager Issues,Company Culture,0,Yes,30,14.1,29,Female,5,3
ATT00036,EMP00206,Operations,Operations Manager,2022-06-16,5,798896.0,Better Opportunity,Health Issues,1,Maybe,60,6.0,23,Female,3,1
ATT00037,EMP00210,Product,Product Analyst,2023-01-13,27,671406.0,Relocation,Personal Reasons,1,No,30,9.7,44,Female,1,2
ATT00038,EMP00211,HR,HR Executive,2019-10-04,17,457630.0,Competitor Offer,Relocation,1,No,30,5.3,47,Female,1,1
ATT00039,EMP00212,Data Analytics,Data Analyst,2023-04-11,74,547033.0,Growth Stagnation,Higher Salary,1,No,90,5.8,36,Male,4,2
ATT00040,EMP00216,Data Analytics,Data Scientist,2023-12-08,96,2144989.0,Work Life Balance,Competitor Offer,1,Yes,30,18.1,50,Male,2,5
ATT00041,EMP00219,HR,HR Business Partner,2023-01-18,23,787044.0,Relocation,Competitor Offer,0,No,60,6.8,41,Female,2,2
ATT00042,EMP00224,Sales,Sales Manager,2020-07-28,33,1048253.0,Better Opportunity,Health Issues,1,No,30,13.5,47,Female,4,1
ATT00043,EMP00226,Operations,COO,2018-12-22,22,752122.0,Higher Salary,Better Opportunity,0,Yes,90,4.9,34,Male,1,1
ATT00044,EMP00229,HR,Recruiter,2019-09-25,13,788115.0,Relocation,Better Opportunity,1,Maybe,60,5.2,24,Female,4,4
ATT00045,EMP00230,Product,Product Analyst,2021-09-02,34,764884.0,Personal Reasons,Better Opportunity,1,Maybe,90,8.0,55,Female,4,2
ATT00046,EMP00241,Engineering,Senior Engineer,2022-07-09,33,1595544.0,Company Culture,Manager Issues,1,Maybe,30,9.8,50,Female,3,1
ATT00047,EMP00251,Finance,Controller,2023-11-04,51,693592.0,Manager Issues,Growth Stagnation,0,Maybe,30,4.4,44,Other,1,3
ATT00048,EMP00264,Product,Director of Product,2024-10-15,49,858193.0,Higher Salary,Competitor Offer,0,Yes,90,6.7,48,Male,2,4
ATT00049,EMP00267,Operations,Operations Executive,2022-03-29,21,824844.0,Higher Salary,Relocation,0,Yes,60,10.9,42,Male,5,1
ATT00050,EMP00274,Customer Success,CS Executive,2024-03-23,17,847643.0,Work Life Balance,Higher Salary,1,Yes,60,9.3,45,Female,1,1
ATT00051,EMP00277,Customer Success,CS Manager,2017-03-12,14,608471.0,Competitor Offer,Growth Stagnation,1,Maybe,30,4.2,36,Female,3,3
ATT00052,EMP00283,Finance,CFO,2019-06-03,45,663210.0,Competitor Offer,Higher Salary,1,No,90,8.5,51,Male,1,3
ATT00053,EMP00284,Product,Product Analyst,2024-06-30,21,619392.0,Better Opportunity,Relocation,1,No,90,7.0,42,Female,2,1
ATT00054,EMP00285,Sales,Account Manager,2023-07-30,29,649932.0,Personal Reasons,Manager Issues,0,Maybe,30,3.4,50,Male,2,4
ATT00055,EMP00288,Legal,Legal Executive,2015-10-12,7,735477.0,Health Issues,Health Issues,1,Yes,30,5.3,22,Male,5,3
ATT00056,EMP00292,Finance,Finance Manager,2024-10-02,70,826231.0,Relocation,Competitor Offer,0,Maybe,30,5.4,49,Female,3,2
ATT00057,EMP00299,Sales,Senior Sales,2023-06-29,2,974756.0,Manager Issues,Manager Issues,1,No,60,7.8,27,Male,2,4
ATT00058,EMP00305,Legal,General Counsel,2024-08-16,12,805795.0,Manager Issues,Higher Salary,1,No,90,5.0,42,Male,5,4
ATT00059,EMP00307,Product,Senior PM,2024-10-05,61,1934803.0,Company Culture,Manager Issues,1,No,30,22.8,32,Male,3,3
ATT00060,EMP00309,Engineering,DevOps Engineer,2021-06-24,61,730500.0,Competitor Offer,Work Life Balance,1,Maybe,90,10.1,43,Female,3,5
ATT00061,EMP00317,Operations,Process Analyst,2021-11-16,13,693167.0,Relocation,Health Issues,1,Yes,30,7.1,22,Female,5,4
ATT00062,EMP00322,Engineering,DevOps Engineer,2024-06-12,25,767887.0,Work Life Balance,Better Opportunity,1,No,90,9.9,22,Male,2,5
ATT00063,EMP00323,Finance,Finance Manager,2022-08-21,62,743176.0,Manager Issues,Higher Salary,1,No,90,5.3,34,Male,4,2
ATT00064,EMP00336,HR,HR Manager,2023-12-28,28,597998.0,Company Culture,Personal Reasons,0,No,60,8.9,30,Female,2,1
ATT00065,EMP00340,Legal,Legal Manager,2018-01-04,20,777811.0,Better Opportunity,Company Culture,1,Maybe,90,7.1,47,Female,2,1
ATT00066,EMP00355,Legal,Legal Executive,2024-11-16,63,751360.0,Personal Reasons,Work Life Balance,1,Maybe,30,4.9,32,Female,5,2
ATT00067,EMP00363,HR,HR Director,2024-05-24,8,756388.0,Growth Stagnation,Work Life Balance,1,Maybe,90,4.4,38,Male,2,3
ATT00068,EMP00373,Sales,Account Manager,2024-03-19,41,816633.0,Higher Salary,Better Opportunity,1,Maybe,90,6.8,53,Male,2,4
ATT00069,EMP00374,Sales,VP Sales,2024-01-02,95,687816.0,Health Issues,Personal Reasons,1,Maybe,90,9.6,26,Female,5,3
ATT00070,EMP00378,Legal,Company Secretary,2020-12-06,4,766546.0,Personal Reasons,Company Culture,0,No,90,5.2,47,Male,1,1
ATT00071,EMP00381,Engineering,Senior Engineer,2024-11-16,17,1608572.0,Manager Issues,Health Issues,1,Maybe,90,10.9,34,Female,5,3
ATT00072,EMP00382,Customer Success,CS Executive,2020-12-16,15,652357.0,Relocation,Manager Issues,1,No,60,6.2,43,Male,3,4
ATT00073,EMP00392,Data Analytics,Analytics Manager,2018-06-29,36,3017354.0,Work Life Balance,Competitor Offer,1,No,90,30.7,35,Male,3,2
ATT00074,EMP00395,Legal,Legal Manager,2024-08-25,78,812014.0,Higher Salary,Relocation,1,No,90,8.9,32,Female,5,3
ATT00075,EMP00401,Engineering,Tech Lead,2021-04-01,56,2133987.0,Company Culture,Relocation,1,Yes,30,25.9,50,Male,3,5
ATT00076,EMP00404,Operations,Operations Executive,2024-02-25,5,819867.0,Personal Reasons,Growth Stagnation,1,Yes,90,5.5,32,Female,3,2
ATT00077,EMP00413,Customer Success,CS Manager,2023-03-26,13,685684.0,Higher Salary,Relocation,1,No,30,6.8,45,Male,5,1
ATT00078,EMP00417,Product,Product Manager,2021-04-17,47,1365397.0,Manager Issues,Manager Issues,0,No,90,15.0,42,Female,4,3
