training_id,emp_id,department,training_type,training_date,duration_hours,completion_status,score,cost_per_person,trainer_type,certification
TRN00001,EMP00542,Legal,Agile Scrum,2020-03-08,24,Completed,82,15000,External,1
TRN00002,EMP00757,Finance,Sales Training,2022-07-12,40,In Progress,86,50000,Internal,0
TRN00003,EMP01093,Sales,Sales Training,2021-04-06,16,Completed,59,50000,Internal,0
TRN00004,EMP01525,Data Analytics,Technical Skills,2024-09-14,40,Completed,66,25000,External,0
TRN00005,EMP01856,Sales,Project Management,2020-11-23,4,Completed,88,50000,Internal,0
TRN00006,EMP00895,Product,Product Knowledge,2022-04-04,24,Completed,54,50000,Internal,1
TRN00007,EMP00110,Sales,Leadership,2020-12-02,8,Completed,63,15000,Online,0
TRN00008,EMP01599,Legal,Product Knowledge,2021-03-16,4,Completed,54,50000,Internal,0
TRN00009,EMP01183,Engineering,Project Management,2024-12-01,24,Completed,71,25000,External,1
TRN00010,EMP01809,Data Analytics,Agile Scrum,2021-10-29,24,Completed,68,25000,Online,0
TRN00011,EMP00151,Customer Success,Project Management,2020-06-27,8,Completed,56,10000,External,1
TRN00012,EMP01949,Product,Product Knowledge,2020-05-02,40,Completed,59,15000,Internal,1
TRN00013,EMP01000,Finance,Agile Scrum,2022-09-21,24,Completed,53,25000,External,0
TRN00014,EMP00372,Data Analytics,Excel & BI Tools,2023-12-03,40,Not Started,75,50000,External,1
TRN00015,EMP00438,Customer Success,Data Analysis,2024-03-09,16,Completed,51,10000,Online,1
TRN00016,EMP00985,Customer Success,Technical Skills,2023-07-21,24,Completed,95,15000,External,0
TRN00017,EMP00718,Customer Success,Agile Scrum,2023-11-24,8,Completed,97,25000,Internal,0
TRN00018,EMP01078,Data Analytics,Project Management,2020-11-14,16,Completed,69,10000,Internal,0
TRN00019,EMP01874,Customer Success,Agile Scrum,2023-09-08,4,Completed,75,50000,Internal,1
TRN00020,EMP00183,Customer Success,Agile Scrum,2021-07-10,8,Not Started,50,25000,External,0
TRN00021,EMP01627,Sales,Project Management,2022-07-02,40,Completed,93,10000,Internal,0
TRN00022,EMP01654,Customer Success,Agile Scrum,2021-01-24,8,In Progress,78,15000,Internal,1
TRN00023,EMP00248,Sales,Communication,2021-06-01,8,Completed,62,25000,External,1
TRN00024,EMP00078,Marketing,Data Analysis,2021-12-25,16,Completed,62,5000,External,0
TRN00025,EMP00716,Customer Success,Sales Training,2023-03-15,8,Completed,90,10000,Internal,1
TRN00026,EMP01375,Product,Agile Scrum,2022-03-15,4,Completed,63,5000,External,1
TRN00027,EMP00309,Engineering,Communication,2022-12-23,8,Completed,54,15000,External,1
TRN00028,EMP01383,HR,Project Management,2023-02-05,4,Completed,90,5000,External,0
TRN00029,EMP01402,HR,Data Analysis,2023-09-20,8,Completed,50,50000,External,1
TRN00030,EMP01842,Engineering,Communication,2022-10-26,40,Completed,71,15000,Online,0
TRN00031,EMP01488,Data Analytics,Leadership,2020-07-10,16,Completed,64,25000,External,1
TRN00032,EMP01265,Customer Success,Communication,2024-12-20,16,Completed,93,25000,External,1
TRN00033,EMP01119,Legal,Communication,2020-04-04,40,Completed,74,15000,Internal,1
TRN00034,EMP01185,HR,Product Knowledge,2020-01-24,16,In Progress,52,5000,Online,0
TRN00035,EMP00501,Customer Success,Sales Training,2024-03-15,4,Completed,93,50000,Internal,0
TRN00036,EMP00791,Operations,Leadership,2023-09-04,8,Completed,100,50000,Internal,0
TRN00037,EMP01458,Sales,Product Knowledge,2023-08-30,16,In Progress,59,15000,External,1
TRN00038,EMP00210,Product,Sales Training,2021-08-24,4,Completed,76,10000,Internal,0
TRN00039,EMP00656,Finance,Data Analysis,2021-11-24,8,Completed,66,25000,External,0
TRN00040,EMP01049,Engineering,Data Analysis,2021-07-05,40,Completed,66,15000,Online,0
TRN00041,EMP01110,Product,Project Management,2021-03-21,24,Completed,72,50000,Online,0
TRN00042,EMP01099,Customer Success,Technical Skills,2021-10-22,8,Completed,76,5000,Internal,0
TRN00043,EMP00336,HR,Leadership,2024-06-09,24,Not Started,70,15000,External,1
TRN00044,EMP01594,Customer Success,Technical Skills,2023-10-28,16,Completed,56,10000,Internal,1
TRN00045,EMP00710,Product,Agile Scrum,2024-12-15,24,Completed,81,15000,Internal,0
TRN00046,EMP00864,Customer Success,Excel & BI Tools,2020-05-29,4,Completed,68,5000,Online,0
TRN00047,EMP01798,Product,Excel & BI Tools,2020-03-07,16,Completed,50,15000,External,1
TRN00048,EMP01209,Finance,Data Analysis,2020-10-10,16,Completed,65,25000,Online,0
TRN00049,EMP00608,Sales,Project Management,2021-01-25,40,Completed,88,5000,External,0
TRN00050,EMP01401,Engineering,Communication,2021-08-11,4,Not Started,88,50000,Internal,1
TRN00051,EMP00634,Finance,Compliance,2024-12-16,40,In Progress,57,15000,Online,1
TRN00052,EMP00299,Sales,Project Management,2020-11-03,40,Completed,66,25000,Online,1
TRN00053,EMP01922,Sales,Data Analysis,2021-10-24,24,Completed,81,10000,External,1
TRN00054,EMP00857,Marketing,Technical Skills,2021-06-26,40,Completed,98,5000,Internal,0
TRN00055,EMP01787,HR,Agile Scrum,2021-07-27,16,Completed,77,10000,External,0
TRN00056,EMP00611,Marketing,Data Analysis,2024-06-03,24,Not Started,100,50000,Online,0
TRN00057,EMP01585,Engineering,Project Management,2022-02-11,8,Completed,90,5000,Online,1
TRN00058,EMP00198,Operations,Data Analysis,2021-08-15,4,Completed,59,5000,Online,0
TRN00059,EMP01194,Data Analytics,Data Analysis,2020-05-23,40,Completed,62,15000,External,1
TRN00060,EMP01564,Finance,Excel & BI Tools,2023-03-20,40,Completed,54,5000,External,1
TRN00061,EMP01386,Marketing,Data Analysis,2023-06-10,24,Completed,72,15000,Online,0
TRN00062,EMP00936,Marketing,Compliance,2021-03-11,24,In Progress,80,50000,Internal,0
TRN00063,EMP01500,Data Analytics,Data Analysis,2022-01-25,24,Completed,65,5000,Internal,1
TRN00064,EMP00847,Engineering,Compliance,2023-11-20,4,Not Started,61,25000,Online,1
TRN00065,EMP00178,Finance,Sales Training,2023-08-22,40,Completed,83,10000,Internal,1
TRN00066,EMP01592,HR,Project Management,2024-09-26,40,Completed,71,5000,External,0
TRN00067,EMP00642,HR,Sales Training,2020-04-05,40,Not Started,51,5000,Internal,1
TRN00068,EMP01189,Data Analytics,Product Knowledge,2020-05-23,4,Completed,58,10000,Online,0
TRN00069,EMP00965,Engineering,Product Knowledge,2020-07-08,40,Completed,87,15000,Internal,1
TRN00070,EMP00693,HR,Project Management,2021-02-17,4,Completed,83,25000,Internal,0
TRN00071,EMP01060,Legal,Communication,2021-05-19,40,In Progress,61,10000,External,0
TRN00072,EMP01537,Finance,Sales Training,2024-03-01,4,In Progress,59,50000,Online,1
TRN00073,EMP00489,Marketing,Data Analysis,2021-05-26,40,Completed,80,25000,External,0
TRN00074,EMP00412,Sales,Leadership,2020-10-12,24,Completed,79,15000,External,1
TRN00075,EMP00708,Product,Excel & BI Tools,2020-02-26,24,Completed,53,10000,Internal,0
TRN00076,EMP00894,Data Analytics,Product Knowledge,2023-04-28,24,Completed,91,5000,External,0
TRN00077,EMP01567,HR,Communication,2020-03-28,16,Completed,86,25000,Online,0
TRN00078,EMP00118,Finance,Sales Training,2024-08-31,24,Completed,56,15000,External,0
TRN00079,EMP01751,Marketing,Project Management,2020-06-20,40,In Progress,80,10000,Internal,1
TRN00080,EMP00029,Data Analytics,Technical Skills,2020-06-26,16,Completed,90,15000,Online,0
TRN00081,EMP01426,Legal,Product Knowledge,2021-05-07,40,Completed,93,15000,Online,0
TRN00082,EMP01831,Product,Excel & BI Tools,2020-06-17,8,Completed,96,5000,External,0
TRN00083,EMP00736,Finance,Data Analysis,2021-08-27,40,Completed,75,50000,External,0
TRN00084,EMP00821,Operations,Communication,2021-07-04,16,Completed,53,10000,External,1
TRN00085,EMP00945,Product,Leadership,2024-11-01,4,Completed,56,25000,External,0
TRN00086,EMP00477,Marketing,Sales Training,2021-11-03,40,Completed,95,5000,Online,0
TRN00087,EMP01824,Engineering,Technical Skills,2023-07-22,16,Completed,57,15000,Online,1
TRN00088,EMP00899,Data Analytics,Communication,2021-03-31,4,Completed,72,5000,External,0
TRN00089,EMP00462,Data Analytics,Sales Training,2024-12-30,8,Not Started,57,50000,External,1
TRN00090,EMP01513,Customer Success,Data Analysis,2023-10-14,24,Completed,73,5000,Internal,1
