review_id,emp_id,review_year,review_quarter,kpi_score,goal_completion_pct,manager_rating,peer_rating,self_rating,promotion_flag,increment_pct,department
REV0000001,EMP00001,2020,Q4,4.7,97,3,3,2,1,18.7,Sales
REV0000002,EMP00001,2021,Q4,3.1,94,3,5,2,0,14.7,Sales
REV0000003,EMP00001,2022,Q3,3.8,71,5,2,4,0,29.7,Sales
REV0000004,EMP00002,2020,Q3,2.8,79,4,3,4,0,18.4,Sales
REV0000005,EMP00002,2021,Q3,4.6,81,2,2,2,0,15.6,Sales
REV0000006,EMP00002,2022,Q4,4.6,63,4,4,3,0,27.9,Sales
REV0000007,EMP00002,2023,Q4,2.9,79,4,4,5,0,21.7,Sales
REV0000008,EMP00002,2024,Q2,4.9,89,3,4,5,0,21.8,Sales
REV0000009,EMP00003,2020,Q3,4.2,64,3,4,4,1,27.7,Finance
REV0000010,EMP00004,2020,Q4,4.3,81,4,4,5,0,7.3,Sales
REV0000011,EMP00005,2020,Q4,2.8,83,4,4,5,0,7.0,Operations
REV0000012,EMP00005,2021,Q4,4.5,90,5,3,4,1,21.9,Operations
REV0000013,EMP00005,2022,Q3,2.6,77,2,5,3,1,28.7,Operations
REV0000014,EMP00005,2023,Q4,2.4,89,4,3,5,0,18.3,Operations
REV0000015,EMP00005,2024,Q2,3.2,59,4,4,4,0,24.4,Operations
REV0000016,EMP00006,2020,Q3,4.8,86,3,4,5,1,8.9,HR
REV0000017,EMP00006,2021,Q4,3.8,75,4,2,4,0,21.4,HR
REV0000018,EMP00006,2022,Q2,2.6,73,2,4,3,0,22.9,HR
REV0000019,EMP00006,2023,Q2,2.7,85,2,4,4,0,29.2,HR
REV0000020,EMP00007,2020,Q1,4.6,50,4,4,3,0,23.8,Marketing
REV0000021,EMP00007,2021,Q2,2.0,73,4,4,3,0,28.8,Marketing
REV0000022,EMP00007,2022,Q2,3.3,85,3,3,3,0,14.6,Marketing
REV0000023,EMP00007,2023,Q4,3.6,60,3,4,4,0,23.9,Marketing
REV0000024,EMP00008,2020,Q2,4.1,72,3,5,4,0,19.5,Product
REV0000025,EMP00008,2021,Q4,3.0,93,4,5,4,0,24.1,Product
